15,日産自動車株式会社,9.02E+12,3,19,6,14.7,,10.7,12.9,15.6,11.2,100,79,25.4,97,残業時間が比較的少なく，有給休暇取得率も高い。女性の管理職も比較的多く，賃金差も比較的小さい。,男女の勤続年数の差が大きいことから，女性の中途採用，管理職登用に注力している可能性がある。,2024/1/1 0:00,2024/1/1 0:00
16,日本精工株式会社,8.01E+12,16,17,13,12.1,5.4,2.5,7.4,16.8,12.3,100,75,8.7,89.7,残業時間が比較的少なく，有給休暇取得率も高い。,男女の勤続年数の差が大きく，管理職になるまでの女性の離脱率が比較的高い。,2024/1/1 0:00,2024/1/1 0:00
17,パナソニックオートモーティブシステムズ株式会社,8.02E+12,8,2,12,13.2,4.1,4.7,5.9,21,22.6,100,75.2,23.2,77,残業時間が比較的少なく，有給休暇取得率も高い。管理職になるまでの離脱率も低い。,全体的に平均値以上であり，比較的女性が働きやすい環境であると考えられる。,2024/1/1 0:00,2024/1/1 0:00
18,日立Astemo株式会社,7.05E+12,,,9,,,2.8,,,,100,77,,,※公開データが少なく考察が難しい。,※公開データが少なく考察が難しい。,2024/1/1 0:00,2024/1/1 0:00
19,ボッシュ株式会社,7.01E+12,5,13,11,16.2,,8.3,0,20.3,16.2,100,76.4,10.6,82.7,残業時間が比較的少なく，有給休暇取得率も高い。管理職になるまでの女性の離脱率も低い。,平均値よりは良いが，男女の勤続年数と賃金差がやや大きい。,2024/1/1 0:00,2024/1/1 0:00
20,本田技研工業株式会社,6.01E+12,9,20,16,9.5,,2.9,25,22.7,15.5,100,72.5,21.6,99,残業時間が比較的少なく，有給休暇取得率も高い。,男女の勤続年数の差が大きく，賃金差も平均値より大きい。,2024/1/1 0:00,2024/1/1 0:00
21,マツダ株式会社,3.24E+12,,12,3,,,4.3,,17.5,14.3,100,85.3,21.1,,※公開データが少なく考察が難しい。,※公開データが少なく考察が難しい。,2024/1/1 0:00,2024/1/1 0:00
22,三菱自動車工業株式会社,7.01E+12,4,16,7,11.5,12.7,6.3,13.6,15.8,11.8,100,78.9,24.8,93.4,残業時間が比較的少なく，有給休暇取得率も高い。管理職になるまでの女性の離脱率も低く，賃金差も少ない。,男女の勤続年数の差が比較的大きい。,2024/1/1 0:00,2024/1/1 0:00
23,三菱重工業株式会社,8.01E+12,10,5,5,9.2,9.1,2.7,6.3,19.1,17.9,100,80,22.2,77,残業時間が比較的少なく，有給休暇取得率も高い。男女の勤続年数の差も小さく，賃金差も少ない。,全体的に平均値以上であり，比較的女性が働きやすい環境であると考えられる。,2024/1/1 0:00,2024/1/1 0:00
24,三菱ふそうトラック・バス株式会社,7.02E+12,2,24,2,6.3,9.2,6.4,12.5,25.9,10.1,100,86.2,,,※公開データが少なく考察が難しい。,※公開データが少なく考察が難しい。,2024/1/1 0:00,2024/1/1 0:00
25,ヤマハ発動機株式会社,2.08E+12,11,8,18,12.7,,3.7,26.7,20,17.3,100,71.5,,,※公開データが少なく考察が難しい。,※公開データが少なく考察が難しい。,2024/1/1 0:00,2024/1/1 0:00
26,UDトラックス株式会社,8.03E+12,1,,1,1.7,,5.9,,,,100,89.8,,,※公開データが少なく考察が難しい。,※公開データが少なく考察が難しい。,2024/1/1 0:00,2024/1/1 0:00
27,ユニプレス株式会社,7.02E+12,6,21,14,11.5,,5.8,8,21.8,14.8,100,73.3,13.4,87.5,残業時間が少なく，有給休暇取得率も高い。,男女の勤続年数の差が大きく，賃金差は平均値位である。,2024/1/1 0:00,2024/1/1 0:00
